time,Efield
2.568578006303329e-07,-625.5651412138876
2.5760047014933137e-07,-604.8448837342173
2.583431396683298e-07,-563.4043687748766
2.5908580918732813e-07,-503.8336285208258
2.598284787063266e-07,-439.0828238968565
2.6057114822532494e-07,-354.90677788569604
2.6131381774432335e-07,-262.96063531965956
2.6205648726332176e-07,-164.5394122912264
2.627991567823201e-07,-75.1833019101484
2.6354182630131857e-07,8.9927441010111
2.6428449582031693e-07,93.16879011217071
2.6502716533931533e-07,155.32956255118168
2.6576983485831374e-07,217.4903349901917
2.665125043773121e-07,280.9461235216819
2.6725517389631056e-07,343.106895960692
2.6799784341530896e-07,376.7773143651558
2.687405129343074e-07,380.6623626425942
2.694831824533058e-07,383.2523948275534
2.702258519723042e-07,384.5474109200326
2.709685214913026e-07,370.30223390275904
2.71711191010301e-07,336.63181549829517
2.724538605292994e-07,308.141461463749
2.7319653004829776e-07,251.1607533946565
2.7393919956729617e-07,187.7049648631654
2.746818690862946e-07,126.83920851663541
2.75424538605293e-07,60.7933878001869
2.761672081242914e-07,-0.0723685463448
2.7690987764328975e-07,-51.873012245519696
2.7765254716228815e-07,-94.60854329733951
2.7839521668128656e-07,-124.3939134243659
2.79137886200285e-07,-151.5892513664329
2.7988055571928343e-07,-164.5394122912264
2.806232252382818e-07,-156.76931573634963
2.8136589475728024e-07,-132.1640099792418
2.821085642762786e-07,-115.3288007770099
2.82851233795277e-07,-90.7234950199011
2.835939033142754e-07,-58.3480927079174
2.843365728332738e-07,-15.6125616560975
2.8507924235227223e-07,12.8777923784486
2.858219118712706e-07,60.7933878001869
2.86564581390269e-07,108.7089832219234
2.873072509092674e-07,150.1494981812641
2.880499204282658e-07,186.4099487706862
2.887925899472642e-07,213.6052867127533
2.8953525946626257e-07,239.5056085623421
2.90277928985261e-07,262.81589822697083
2.9102059850425943e-07,284.8311717991194
2.9176326802325784e-07,300.3713649088722
2.9250593754225625e-07,308.141461463749
2.932486070612546e-07,302.9613970938314
2.93991276580253e-07,300.3713649088722
2.947339460992514e-07,288.71622007655776
2.954766156182498e-07,269.2909786893667
2.9621928513724823e-07,247.275705117218
2.9696195465624664e-07,223.9654154525894
2.9770462417524505e-07,198.06509360300151
2.984472936942434e-07,168.2797234759752
2.991899632132418e-07,141.0843855339081
2.999326327322402e-07,107.4139671294442
3.006753022512387e-07,72.4485326325012
3.014179717702371e-07,36.1880820430782
3.0216064128923544e-07,10.2877601934903
3.0290331080823384e-07,-5.2524329162615
3.0364598032723225e-07,-24.6776743034526
3.0438864984623066e-07,-38.922851320726195
3.0513131936522907e-07,-51.873012245519696
3.058739888842274e-07,-64.82317317031409
3.066166584032259e-07,-66.1181892627933
3.0735932792222424e-07,-51.873012245519696
3.0810199744122264e-07,-41.512883505685394
3.0884466696022105e-07,-27.2677064884119
3.095873364792194e-07,-10.43249728618
3.1033000599821786e-07,-2.662400731304
3.110726755172162e-07,8.9927441010111
3.118153450362147e-07,20.6478889333254
3.125580145552131e-07,42.6631625054749
3.1330068407421144e-07,53.0232912453101
3.140433535932099e-07,54.3183073377893
3.1478602311220826e-07,54.3183073377893
3.1552869263120666e-07,54.3183073377893
3.1627136215020507e-07,50.4332590603509
3.170140316692035e-07,24.532937210762903
3.177567011882019e-07,6.4027119160527
3.1849937070720024e-07,-9.1374811936999
3.192420402261987e-07,-37.627835228247
3.1998470974519705e-07,-51.873012245519696
